iter	Passed	Remaining
0	2	253
1	4	227
2	6	219
3	8	213
4	11	211
5	13	208
6	15	203
7	17	197
8	19	193
9	21	191
10	23	187
11	25	185
12	27	182
13	29	180
14	31	178
15	33	176
16	35	174
17	37	172
18	39	170
19	42	168
20	44	165
21	46	163
22	48	161
23	50	159
24	52	157
25	54	154
26	56	152
27	58	150
28	60	149
29	63	147
30	65	144
31	67	142
32	68	140
33	71	137
34	73	135
35	75	133
36	77	131
37	79	129
38	81	128
39	83	125
40	86	123
41	88	121
42	90	119
43	91	117
44	93	114
45	96	112
46	98	110
47	100	108
48	102	106
49	104	104
50	106	102
51	108	100
52	110	98
53	112	96
54	114	93
55	116	91
56	119	89
57	121	87
58	123	85
59	125	83
60	127	81
61	129	79
62	131	77
63	133	75
64	135	73
65	137	70
66	139	68
67	142	66
68	143	64
69	146	62
70	148	60
71	150	58
72	152	56
73	154	54
74	156	52
75	158	50
76	160	48
77	162	45
78	164	43
79	166	41
80	168	39
81	171	37
82	173	35
83	175	33
84	178	31
85	180	29
86	182	27
87	184	25
88	186	23
89	188	20
90	191	18
91	193	16
92	195	14
93	197	12
94	199	10
95	201	8
96	203	6
97	206	4
98	208	2
99	211	0
